Key,Id,English(en)
"Window.Cadet.Messages.NoProfilesAvailable",,"No profiles available. Click 'New' to create one."
"Window.Cadet.ProfileInfo.Platform",,"Platform:"
"Window.Cadet.ProfileInfo.UnityProject",,"Unity Project:"
"Window.Cadet.ProfileInfo.BuildOutput",,"Build Output:"
"Window.Cadet.Dialogs.DeleteProfile.Title",,"Delete Profile"
"Window.Cadet.Dialogs.DeleteProfile.Message",,"Are you sure you want to delete the profile '{0}'?\n\nThis action cannot be undone."
"Window.Cadet.Dialogs.ExportProfile.Title",,"Export Profile"
"Window.Cadet.Dialogs.ExportProfile.SuccessTitle",,"Profile Exported"
"Window.Cadet.Dialogs.ExportProfile.SuccessMessage",,"Profile '{0}' has been exported successfully to:\n{1}"
"Window.Cadet.Dialogs.ExportProfile.ErrorTitle",,"Export Failed"
"Window.Cadet.Dialogs.ExportProfile.ErrorMessage",,"Failed to export profile:\n{0}"
"Window.Cadet.Messages.CheckLogsForDetails",,"Check logs for details"
"Window.PublishingToolsConfig.Title",,"Publishing Tools Configuration"
"Window.PublishingToolsConfig.Header",,"Publishing Tools Configuration"
"Window.PublishingToolsConfig.InfoBox",,"Before you can deploy builds, CADET requires third-party tools from platform vendors. These tools are not included due to license restrictions."
"Window.PublishingToolsConfig.RequiredDependencies",,"Required Dependencies"
"Window.PublishingToolsConfig.Buttons.PublishingTools",,"Publishing Tools"
"Window.PublishingToolsConfig.Buttons.Close",,"Close"
"Window.PublishingToolsConfig.Buttons.ClearOutput",,"Clear Output"
"Window.PublishingToolsConfig.Messages.ConfigureTools",,"To publish your build, configure tools"
"Window.EpicCredentialsWizard.Title",,"Configure Epic Credentials"
"Window.EpicCredentialsWizard.Step1",,"Step 1 of 1: Enter Credentials"
"Window.EpicCredentialsWizard.InfoBox",,"Enter your Epic Games Store Client ID and Client Secret. These credentials are used to authenticate with the Epic Games Store API for publishing builds."
"Window.EpicCredentialsWizard.ClientIdLabel",,"Client ID:"
"Window.EpicCredentialsWizard.ClientSecretLabel",,"Client Secret:"
"Window.EpicCredentialsWizard.CheckCredentials",,"Check Credentials"
"Window.EpicCredentialsWizard.CheckingCredentials",,"Checking credentials..."
"Window.EpicCredentialsWizard.CredentialsVerified",,"Credentials verified"
"Window.EpicCredentialsWizard.InvalidCredentials",,"Invalid Client ID or Client Secret"
"Window.EpicCredentialsWizard.BuildPatchToolNotFound",,"BuildPatchTool not found. Please install BuildPatchTool first."
"Window.EpicCredentialsWizard.Save",,"Save"
"Window.EpicCredentialsWizard.SaveFailed",,"Failed to save credentials. Please try again."
"Window.PublishingToolsConfig.Sections.PlatformCredentials",,"Platform Credentials"
"Window.PublishingToolsConfig.Buttons.ConfigureSteamCredentials",,"Configure Steam Credentials"
"Window.PublishingToolsConfig.Buttons.ConfigureEpicCredentials",,"Configure Epic Credentials"
"Window.PublishingToolsConfig.Buttons.ConfigureMacCredentials",,"Configure macOS Credentials"
"Window.ProfileEditor.Messages.MacCredentialsConfigured",,"✅ Configured"
"Window.ProfileEditor.Messages.MacCredentialsNotConfigured",,"⚠️ Not Configured"
"Window.Cadet.Messages.MacCredentialsNotConfigured",,"macOS notarization is enabled but credentials are not configured. Please configure macOS credentials in Publishing Tools."
"Window.PublishingToolsConfig.Dialogs.ConfigureMacCredentials.Title",,"Configure macOS Credentials"
"Window.PublishingToolsConfig.Dialogs.ConfigureMacCredentials.Message",,"Enter your app-specific password (GEN_PW) for macOS notarization:\n\nTo generate an app-specific password:\n1. Go to appleid.apple.com\n2. Sign in and go to Security\n3. Under App-Specific Passwords, click Generate Password\n4. Give it a name (e.g., \"CADET Notarization\")\n5. Copy the generated password and paste it below"
"Window.PublishingToolsConfig.Dialogs.ConfigureMacCredentials.Success",,"macOS credentials saved successfully."
"Window.PublishingToolsConfig.Dialogs.ConfigureMacCredentials.Error",,"Failed to save macOS credentials: {0}"
"Window.PublishingToolsConfig.DependencyCard.Description",,"Description:"
"Window.PublishingToolsConfig.DependencyCard.InstallLocation",,"Install Location:"
"Window.PublishingToolsConfig.DependencyCard.LicenseAgreementRequired",,"⚖️ License Agreement Required"
"Window.PublishingToolsConfig.DependencyCard.AcceptLicense",,"I have reviewed and accept the license terms"
"Window.PublishingToolsConfig.DependencyCard.CustomPathLabel",,"Or specify custom installation path:"
"Window.PublishingToolsConfig.DependencyCard.Buttons.DownloadExtract",,"Download & Extract"
"Window.PublishingToolsConfig.DependencyCard.Buttons.Uninstall",,"Uninstall"
"Window.PublishingToolsConfig.DependencyCard.Buttons.VerifyInstallation",,"Verify Installation"
"Window.PublishingToolsConfig.DependencyCard.Buttons.Retry",,"Retry"
"Window.PublishingToolsConfig.DependencyCard.Buttons.ManualDownload",,"Manual Download"
"Window.PublishingToolsConfig.DependencyCard.Buttons.ViewLicense",,"View License"
"Window.PublishingToolsConfig.DependencyCard.Buttons.Browse",,"Browse..."
"Window.PublishingToolsConfig.DependencyCard.Buttons.VerifyCustomPath",,"Verify Custom Path"
"Window.PublishingToolsConfig.DependencyCard.Dialogs.SelectDirectory",,"Select {0} Directory"
"Window.PublishingToolsConfig.DependencyCard.Dialogs.SelectFile",,"Select {0}"
"Window.Cadet.Sections.BuildOperations",,"Build Operations"
"Window.Cadet.Sections.Monitoring",,"Monitoring"
"Window.Cadet.Checkboxes.UnityBuild",,"Unity Build"
"Window.Cadet.Checkboxes.PublishSteam",,"Publish to Steam"
"Window.Cadet.Checkboxes.PublishEpic",,"Publish to Epic"
"Window.Cadet.Checkboxes.NotarizeMac",,"Notarize macOS Build"
"Window.Cadet.Buttons.Execute",,"Execute"
"Window.Cadet.Tooltips.UnityBuild",,"Build the Unity project for the configured operating system(s)"
"Window.Cadet.Tooltips.PublishSteam",,"Upload build to Steam using SteamCMD"
"Window.Cadet.Tooltips.PublishEpic",,"Upload build to Epic Games Store using BuildPatchTool"
"Window.Cadet.Tooltips.NotarizeMac",,"Sign and notarize the existing macOS build. Requires macOS build to exist and credentials configured."
"Dialog.DirectorySync.Title",,"Executing Directory Sync"
"Dialog.DirectorySync.Message",,"Please note:\n1. Do not change source files during directory syncing.\n2. For larger projects this can take some time. To skip this process, use the Git Sync feature (CADET Pro)."
"Dialog.DirectorySync.Ok",,"Okay"
"Window.Cadet.Tooltips.SteamNotConfigured",,"Steam credentials are not configured. Please configure credentials in Publishing Tools."
"Window.Cadet.Tooltips.EpicNotConfigured",,"Epic credentials are not configured. Please configure credentials in Publishing Tools."
"Window.Cadet.Messages.SteamCredentialsNotConfigured",,"Steam credentials are not configured. Please configure credentials in Publishing Tools to enable Steam publishing."
"Window.Cadet.Messages.SteamBuildToolsNotConfigured",,"Configure Steam build tools to publish to Steam"
"Window.Cadet.Messages.EpicCredentialsNotConfigured",,"Epic credentials are not configured. Please configure credentials in Publishing Tools to enable Epic publishing."
"Window.Cadet.Messages.EpicBuildToolsNotConfigured",,"Configure Epic build tools to publish to the Epic store"
"Window.Cadet.Messages.BuildNotFound.Windows",,"Windows build not found in output directory"
"Window.Cadet.Messages.BuildNotFound.MacOS",,"macOS build not found in output directory"
"Window.Cadet.Messages.BuildNotFound.Both",,"Windows and macOS builds not found in output directory"
"Window.BuildQueue.Status.Executed",,"Executed"
"Window.BuildQueue.Dialogs.ProcessNotFound.Title",,"Process not found"
"Window.BuildQueue.Dialogs.ProcessNotFound.Message",,"No running process was found for this build."
"Window.ProfileEditor.Validation.ProjectPathCannotBeCurrent",,"Project Path cannot be the same as the current project. You must make a copy of your project to ensure parallel execution/build issues."
"Window.PublishingToolsConfig.DependencyCard.CosmosBinaries.Name",,"Cosmos Binaries (Windows)"
"Window.PublishingToolsConfig.DependencyCard.CosmosBinaries.Description",,"Cosmopolitan binaries required for Windows bash script execution. Includes bash, jq, grep, and other utilities."
"Window.PublishingToolsConfig.Messages.CosmosBinariesNotFound",,"Cosmos bash not found. Please download Cosmos Binaries from Publishing Tools."
"Window.PublishingToolsConfig.Messages.CosmosBinariesDownloadInstructions",,"Please download Cosmos Binaries from Publishing Tools (Tools > Covyne > C.A.D.E.T > Publishing Tools)."
"Window.Cadet.Messages.CosmosBinariesNotConfigured",,"Configure Cosmos Binaries to enable Unity builds on Windows"
"Window.PublishingToolsConfig.Messages.CosmosRequired",,"⚠️ Cosmos Binaries must be installed first before this dependency can be downloaded. Please install Cosmos Binaries above."
"Window.PublishingToolsConfig.DependencyCard.Status.Missing",,"Missing"
"Window.PublishingToolsConfig.DependencyCard.Status.Downloading",,"Downloading..."
"Window.PublishingToolsConfig.DependencyCard.Status.Extracting",,"Extracting..."
"Window.PublishingToolsConfig.DependencyCard.Status.Installed",,"Installed"
"Window.PublishingToolsConfig.DependencyCard.Status.Error",,"Error"
"Window.PublishingToolsConfig.DependencyCard.Status.Unknown",,"Unknown"
"Window.PublishingToolsConfig.DependencyCard.Progress.DownloadedOfTotal",,"{0} / {1}"
"Window.PublishingToolsConfig.DependencyCard.Progress.Percent",,"{0}%"
"Window.PublishingToolsConfig.DependencyCard.Status.NotInstalled",,"Not installed"
